"GemeenteCode";"GemeenteNaam";"AantalZetels"
"0784";"Gilze en Rijen";"21"
"0785";"Goirle";"19"
"0794";"Helmond";"37"
"0796";"'s-Hertogenbosch";"39"
"0797";"Heusden";"29"
"0798";"Hilvarenbeek";"17"
"0809";"Loon op Zand";"19"
"0820";"Nuenen, Gerwen en Nederwetten";"19"
"0823";"Oirschot";"17"
"0824";"Oisterwijk";"23"
"0826";"Oosterhout";"31"
"0828";"Oss";"37"
"0840";"Rucphen";"19"
"0845";"Sint-Michielsgestel";"23"
"0847";"Someren";"19"
"0848";"Son en Breugel";"17"
"0851";"Steenbergen";"19"
"0852";"Waterland";"17"
"0855";"Tilburg";"45"
"0858";"Valkenswaard";"23"
"0861";"Veldhoven";"29"
"0865";"Vught";"23"
"0866";"Waalre";"17"
"0867";"Waalwijk";"31"
"0873";"Woensdrecht";"19"
"0879";"Zundert";"19"
"0880";"Wormerland";"17"
"0882";"Landgraaf";"25"
"0888";"Beek";"17"
"0889";"Beesel";"15"
"0893";"Bergen (L)";"15"
"0899";"Brunssum";"21"
"0907";"Gennep";"17"
"0917";"Heerlen";"37"
"0928";"Kerkrade";"29"
"0935";"Maastricht";"39"
"0938";"Meerssen";"17"
"0944";"Mook en Middelaar";"13"
"0946";"Nederweert";"17"
"0957";"Roermond";"33"
"0965";"Simpelveld";"15"
"0971";"Stein";"19"
"0981";"Vaals";"15"
"0983";"Venlo";"39"
"0984";"Venray";"29"
"0986";"Voerendaal";"15"
"0988";"Weert";"31"
"0994";"Valkenburg aan de Geul";"17"
"0995";"Lelystad";"37"
"1507";"Horst aan de Maas";"27"
"1509";"Oude IJsselstreek";"25"
"1525";"Teylingen";"25"
"1581";"Utrechtse Heuvelrug";"31"
"1586";"Oost Gelre";"23"
"1598";"Koggenland";"19"
"1621";"Lansingerland";"33"
"1640";"Leudal";"25"
"1641";"Maasgouw";"19"
"1652";"Gemert-Bakel";"23"
"1655";"Halderberge";"23"
"1658";"Heeze-Leende";"17"
"1659";"Laarbeek";"19"
"1667";"Reusel-De Mierden";"15"
"1669";"Roerdalen";"19"
"1674";"Roosendaal";"35"
"1676";"Schouwen-Duiveland";"23"
"1680";"Aa en Hunze";"21"
"1681";"Borger-Odoorn";"21"
"1690";"De Wolden";"19"
"1695";"Noord-Beveland";"13"
"1699";"Noordenveld";"23"
"1700";"Twenterand";"23"
"1701";"Westerveld";"17"
"1705";"Lingewaard";"29"
"1706";"Cranendonck";"19"
"1708";"Steenwijkerland";"29"
"1709";"Moerdijk";"25"
"1711";"Echt-Susteren";"23"
"1714";"Sluis";"19"
"1719";"Drimmelen";"21"
"1721";"Bernheze";"23"
"1723";"Alphen-Chaam";"15"
"1724";"Bergeijk";"17"
"1728";"Bladel";"19"
"1729";"Gulpen-Wittem";"15"
